country,All expenditure types,Expenditure for ancillary services,Expenditure for R&D activities,Core services OECD,All services excluding R&D OECD,allGdp,All services excluding R&D OECD as GDP percentage
Australia,"20,344.20",788.2,"6,185.50","13,370.40","14,158.60",2,1.4
Austria,"17,555.20",175.2,"4,417.20","12,962.80","13,138.00",1.7,1.3
Belgium,"17,320.20",973.1,"5,693.00","10,654.10","11,627.20",1.5,1
Canada,..,..,..,..,..,2.4,1.8
Chile,"6,677.10",91.9,346.3,"6,239.00","6,330.90",2,1.9
Czech Republic,"10,890.70",77.9,"4,525.70","6,287.10","6,365.00",1.2,0.7
Estonia,"12,867.50",3,"4,463.20","8,401.30","8,404.30",1.8,1.2
Finland,"17,591.20",..,"7,200.10",..,"10,391.10",1.7,1
France,"16,144.80",768.4,"5,506.60","9,869.80","10,638.20",1.5,1
Germany,"17,035.60",880.3,"7,018.00","9,137.20","10,017.50",1.2,0.7
Greece,"4,094.50",..,"1,493.10",..,"2,601.50",1,0.6
Hungary,"8,761.50",615.1,"1,693.90","6,452.40","7,067.60",0.9,0.7
Iceland,"12,670.70",0,0,"12,670.70","12,670.70",1.3,1.3
Ireland,"13,229.40",..,"3,482.70","9,746.60","9,746.60",0.8,0.6
Israel,"11,003.20",40,"3,894.40","7,068.80","7,108.80",1.5,0.9
Italy,"11,257.10",406.4,"3,905.50","6,945.10","7,351.50",0.9,0.6
Japan,"19,289.20",..,..,..,..,1.4,..
Korea,"10,108.90",86.5,"1,968.10","8,054.40","8,140.80",1.8,1.5
Latvia,"10,136.70",128.4,"1,928.50","8,079.90","8,208.20",1.5,1.2
Lithuania,"9,656.90",661.7,"3,200.30","5,794.80","6,456.60",1.5,1
Luxembourg,"48,906.90","1,104.90","16,770.50","31,031.60","32,136.40",0.5,0.3
Mexico,"8,169.70",..,"1,765.80",..,"6,403.90",1.4,1.1
Netherlands,"19,286.20",..,"7,179.40","12,106.90","12,106.90",1.7,1.1
New Zealand,"15,165.70",..,"2,958.80",..,"12,207.00",1.8,1.4
Norway,"20,973.00",243,"8,609.70","12,120.30","12,363.30",1.7,1
Poland,"9,687.40",210,"2,040.50","7,436.90","7,646.90",1.4,1.1
Portugal,"11,765.90",608.5,"4,289.20","6,868.30","7,476.70",1.3,0.8
Slovak Republic,"15,873.90","1,855.50","6,028.80","7,989.60","9,845.10",1.6,1
Slovenia,"10,208.10",320.1,"2,132.80","7,755.10","8,075.20",1,0.8
Spain,"12,605.20",520.5,"3,277.70","8,807.00","9,327.50",1.3,0.9
Sweden,"24,417.40",0,"13,120.00","11,297.50","11,297.50",1.6,0.7
Turkey,"8,900.70",722.3,"1,882.50","6,295.90","7,018.20",1.7,1.3
United Kingdom,"26,320.10","2,096.40","5,794.30","18,429.30","20,525.70",1.9,1.5
United States,"30,003.20","3,369.50","3,186.00","23,447.70","26,817.20",2.6,2.3
Data extracted on 23 Jan 2019 09:38 UTC (GMT) from OECD.Stat,,,,,,,
Legend:,,,,,,,
M:,,,,,,,
x:,,,,,,,
z:,,,,,,,
w:,,,,,,,